,team,player,season,season_end
0,1st Team,Kevin Durant,2013-2014,2014
1,1st Team,LeBron James,2013-2014,2014
2,1st Team,Joakim Noah,2013-2014,2014
3,1st Team,James Harden,2013-2014,2014
4,1st Team,Chris Paul,2013-2014,2014
5,2nd Team,Blake Griffin,2013-2014,2014
6,2nd Team,Kevin Love,2013-2014,2014
7,2nd Team,Dwight Howard,2013-2014,2014
8,2nd Team,Stephen Curry,2013-2014,2014
9,2nd Team,Tony Parker,2013-2014,2014
10,3rd Team,LaMarcus Aldridge,2013-2014,2014
11,3rd Team,Paul George,2013-2014,2014
12,3rd Team,Al Jefferson,2013-2014,2014
13,3rd Team,Goran Dragic,2013-2014,2014
14,3rd Team,Damian Lillard,2013-2014,2014
15,1st Team,Kevin Durant,2012-2013,2013
16,1st Team,LeBron James,2012-2013,2013
17,1st Team,Tim Duncan,2012-2013,2013
18,1st Team,Kobe Bryant,2012-2013,2013
19,1st Team,Chris Paul,2012-2013,2013
20,2nd Team,Carmelo Anthony,2012-2013,2013
21,2nd Team,Blake Griffin,2012-2013,2013
22,2nd Team,Marc Gasol,2012-2013,2013
23,2nd Team,Tony Parker,2012-2013,2013
24,2nd Team,Russell Westbrook,2012-2013,2013
25,3rd Team,Paul George,2012-2013,2013
26,3rd Team,David Lee,2012-2013,2013
27,3rd Team,Dwight Howard,2012-2013,2013
28,3rd Team,James Harden,2012-2013,2013
29,3rd Team,Dwyane Wade,2012-2013,2013
30,1st Team,Kevin Durant,2011-2012,2012
31,1st Team,LeBron James,2011-2012,2012
32,1st Team,Dwight Howard,2011-2012,2012
33,1st Team,Kobe Bryant,2011-2012,2012
34,1st Team,Chris Paul,2011-2012,2012
35,2nd Team,Blake Griffin,2011-2012,2012
36,2nd Team,Kevin Love,2011-2012,2012
37,2nd Team,Andrew Bynum,2011-2012,2012
38,2nd Team,Tony Parker,2011-2012,2012
39,2nd Team,Russell Westbrook,2011-2012,2012
40,3rd Team,Carmelo Anthony,2011-2012,2012
41,3rd Team,Dirk Nowitzki,2011-2012,2012
42,3rd Team,Tyson Chandler,2011-2012,2012
43,3rd Team,Rajon Rondo,2011-2012,2012
44,3rd Team,Dwyane Wade,2011-2012,2012
45,1st Team,Kevin Durant,2010-2011,2011
46,1st Team,LeBron James,2010-2011,2011
47,1st Team,Dwight Howard,2010-2011,2011
48,1st Team,Kobe Bryant,2010-2011,2011
49,1st Team,Derrick Rose,2010-2011,2011
50,2nd Team,Pau Gasol,2010-2011,2011
51,2nd Team,Dirk Nowitzki,2010-2011,2011
52,2nd Team,Amar'e Stoudemire,2010-2011,2011
53,2nd Team,Dwyane Wade,2010-2011,2011
54,2nd Team,Russell Westbrook,2010-2011,2011
55,3rd Team,LaMarcus Aldridge,2010-2011,2011
56,3rd Team,Zach Randolph,2010-2011,2011
57,3rd Team,Al Horford,2010-2011,2011
58,3rd Team,Manu Ginobili,2010-2011,2011
59,3rd Team,Chris Paul,2010-2011,2011
60,1st Team,Kevin Durant,2009-2010,2010
61,1st Team,LeBron James,2009-2010,2010
62,1st Team,Dwight Howard,2009-2010,2010
63,1st Team,Kobe Bryant,2009-2010,2010
64,1st Team,Dwyane Wade,2009-2010,2010
65,2nd Team,Carmelo Anthony,2009-2010,2010
66,2nd Team,Dirk Nowitzki,2009-2010,2010
67,2nd Team,Amar'e Stoudemire,2009-2010,2010
68,2nd Team,Steve Nash,2009-2010,2010
69,2nd Team,Deron Williams,2009-2010,2010
70,3rd Team,Tim Duncan,2009-2010,2010
71,3rd Team,Pau Gasol,2009-2010,2010
72,3rd Team,Andrew Bogut,2009-2010,2010
73,3rd Team,Joe Johnson,2009-2010,2010
74,3rd Team,Brandon Roy,2009-2010,2010
75,1st Team,LeBron James,2008-2009,2009
76,1st Team,Dirk Nowitzki,2008-2009,2009
77,1st Team,Dwight Howard,2008-2009,2009
78,1st Team,Kobe Bryant,2008-2009,2009
79,1st Team,Dwyane Wade,2008-2009,2009
80,2nd Team,Tim Duncan,2008-2009,2009
81,2nd Team,Paul Pierce,2008-2009,2009
82,2nd Team,Yao Ming,2008-2009,2009
83,2nd Team,Chris Paul,2008-2009,2009
84,2nd Team,Brandon Roy,2008-2009,2009
85,3rd Team,Carmelo Anthony,2008-2009,2009
86,3rd Team,Pau Gasol,2008-2009,2009
87,3rd Team,Shaquille O'Neal,2008-2009,2009
88,3rd Team,Chauncey Billups,2008-2009,2009
89,3rd Team,Tony Parker,2008-2009,2009
90,1st Team,Kevin Garnett,2007-2008,2008
91,1st Team,LeBron James,2007-2008,2008
92,1st Team,Dwight Howard,2007-2008,2008
93,1st Team,Kobe Bryant,2007-2008,2008
94,1st Team,Chris Paul,2007-2008,2008
95,2nd Team,Tim Duncan,2007-2008,2008
96,2nd Team,Dirk Nowitzki,2007-2008,2008
97,2nd Team,Amar'e Stoudemire,2007-2008,2008
98,2nd Team,Steve Nash,2007-2008,2008
99,2nd Team,Deron Williams,2007-2008,2008
100,3rd Team,Carlos Boozer,2007-2008,2008
101,3rd Team,Paul Pierce,2007-2008,2008
102,3rd Team,Yao Ming,2007-2008,2008
103,3rd Team,Manu Ginobili,2007-2008,2008
104,3rd Team,Tracy McGrady,2007-2008,2008
105,1st Team,Tim Duncan,2006-2007,2007
106,1st Team,Dirk Nowitzki,2006-2007,2007
107,1st Team,Amar'e Stoudemire,2006-2007,2007
108,1st Team,Kobe Bryant,2006-2007,2007
109,1st Team,Steve Nash,2006-2007,2007
110,2nd Team,Chris Bosh,2006-2007,2007
111,2nd Team,LeBron James,2006-2007,2007
112,2nd Team,Yao Ming,2006-2007,2007
113,2nd Team,Gilbert Arenas,2006-2007,2007
114,2nd Team,Tracy McGrady,2006-2007,2007
115,3rd Team,Carmelo Anthony,2006-2007,2007
116,3rd Team,Kevin Garnett,2006-2007,2007
117,3rd Team,Dwight Howard,2006-2007,2007
118,3rd Team,Chauncey Billups,2006-2007,2007
119,3rd Team,Dwyane Wade,2006-2007,2007
120,1st Team,LeBron James,2005-2006,2006
121,1st Team,Dirk Nowitzki,2005-2006,2006
122,1st Team,Shaquille O'Neal,2005-2006,2006
123,1st Team,Kobe Bryant,2005-2006,2006
124,1st Team,Steve Nash,2005-2006,2006
125,2nd Team,Elton Brand,2005-2006,2006
126,2nd Team,Tim Duncan,2005-2006,2006
127,2nd Team,Ben Wallace,2005-2006,2006
128,2nd Team,Chauncey Billups,2005-2006,2006
129,2nd Team,Dwyane Wade,2005-2006,2006
130,3rd Team,Carmelo Anthony,2005-2006,2006
131,3rd Team,Shawn Marion,2005-2006,2006
132,3rd Team,Yao Ming,2005-2006,2006
133,3rd Team,Gilbert Arenas,2005-2006,2006
134,3rd Team,Allen Iverson,2005-2006,2006
135,1st Team,Tim Duncan,2004-2005,2005
136,1st Team,Dirk Nowitzki,2004-2005,2005
137,1st Team,Shaquille O'Neal,2004-2005,2005
138,1st Team,Allen Iverson,2004-2005,2005
139,1st Team,Steve Nash,2004-2005,2005
140,2nd Team,Kevin Garnett,2004-2005,2005
141,2nd Team,LeBron James,2004-2005,2005
142,2nd Team,Amar'e Stoudemire,2004-2005,2005
143,2nd Team,Ray Allen,2004-2005,2005
144,2nd Team,Dwyane Wade,2004-2005,2005
145,3rd Team,Shawn Marion,2004-2005,2005
146,3rd Team,Tracy McGrady,2004-2005,2005
147,3rd Team,Ben Wallace,2004-2005,2005
148,3rd Team,Gilbert Arenas,2004-2005,2005
149,3rd Team,Kobe Bryant,2004-2005,2005
150,1st Team,Tim Duncan,2003-2004,2004
151,1st Team,Kevin Garnett,2003-2004,2004
152,1st Team,Shaquille O'Neal,2003-2004,2004
153,1st Team,Kobe Bryant,2003-2004,2004
154,1st Team,Jason Kidd,2003-2004,2004
155,2nd Team,Jermaine O'Neal,2003-2004,2004
156,2nd Team,Peja Stojakovic,2003-2004,2004
157,2nd Team,Ben Wallace,2003-2004,2004
158,2nd Team,Sam Cassell,2003-2004,2004
159,2nd Team,Tracy McGrady,2003-2004,2004
160,3rd Team,Dirk Nowitzki,2003-2004,2004
161,3rd Team,Metta World Peace,2003-2004,2004
162,3rd Team,Yao Ming,2003-2004,2004
163,3rd Team,Baron Davis,2003-2004,2004
164,3rd Team,Michael Redd,2003-2004,2004
165,1st Team,Tim Duncan,2002-2003,2003
166,1st Team,Kevin Garnett,2002-2003,2003
167,1st Team,Shaquille O'Neal,2002-2003,2003
168,1st Team,Kobe Bryant,2002-2003,2003
169,1st Team,Tracy McGrady,2002-2003,2003
170,2nd Team,Dirk Nowitzki,2002-2003,2003
171,2nd Team,Chris Webber,2002-2003,2003
172,2nd Team,Ben Wallace,2002-2003,2003
173,2nd Team,Allen Iverson,2002-2003,2003
174,2nd Team,Jason Kidd,2002-2003,2003
175,3rd Team,Jamal Mashburn,2002-2003,2003
176,3rd Team,Paul Pierce,2002-2003,2003
177,3rd Team,Jermaine O'Neal,2002-2003,2003
178,3rd Team,Stephon Marbury,2002-2003,2003
179,3rd Team,Steve Nash,2002-2003,2003
180,1st Team,Tim Duncan,2001-2002,2002
181,1st Team,Tracy McGrady,2001-2002,2002
182,1st Team,Shaquille O'Neal,2001-2002,2002
183,1st Team,Kobe Bryant,2001-2002,2002
184,1st Team,Jason Kidd,2001-2002,2002
185,2nd Team,Kevin Garnett,2001-2002,2002
186,2nd Team,Chris Webber,2001-2002,2002
187,2nd Team,Dirk Nowitzki,2001-2002,2002
188,2nd Team,Allen Iverson,2001-2002,2002
189,2nd Team,Gary Payton,2001-2002,2002
190,3rd Team,Jermaine O'Neal,2001-2002,2002
191,3rd Team,Ben Wallace,2001-2002,2002
192,3rd Team,Dikembe Mutombo,2001-2002,2002
193,3rd Team,Steve Nash,2001-2002,2002
194,3rd Team,Paul Pierce,2001-2002,2002
195,1st Team,Tim Duncan,2000-2001,2001
196,1st Team,Chris Webber,2000-2001,2001
197,1st Team,Shaquille O'Neal,2000-2001,2001
198,1st Team,Allen Iverson,2000-2001,2001
199,1st Team,Jason Kidd,2000-2001,2001
200,2nd Team,Vince Carter,2000-2001,2001
201,2nd Team,Kevin Garnett,2000-2001,2001
202,2nd Team,Dikembe Mutombo,2000-2001,2001
203,2nd Team,Kobe Bryant,2000-2001,2001
204,2nd Team,Tracy McGrady,2000-2001,2001
205,3rd Team,Karl Malone,2000-2001,2001
206,3rd Team,Dirk Nowitzki,2000-2001,2001
207,3rd Team,David Robinson,2000-2001,2001
208,3rd Team,Ray Allen,2000-2001,2001
209,3rd Team,Gary Payton,2000-2001,2001
210,1st Team,Tim Duncan,1999-2000,2000
211,1st Team,Kevin Garnett,1999-2000,2000
212,1st Team,Shaquille O'Neal,1999-2000,2000
213,1st Team,Jason Kidd,1999-2000,2000
214,1st Team,Gary Payton,1999-2000,2000
215,2nd Team,Grant Hill,1999-2000,2000
216,2nd Team,Karl Malone,1999-2000,2000
217,2nd Team,Alonzo Mourning,1999-2000,2000
218,2nd Team,Kobe Bryant,1999-2000,2000
219,2nd Team,Allen Iverson,1999-2000,2000
220,3rd Team,Vince Carter,1999-2000,2000
221,3rd Team,Chris Webber,1999-2000,2000
222,3rd Team,David Robinson,1999-2000,2000
223,3rd Team,Eddie Jones,1999-2000,2000
224,3rd Team,Stephon Marbury,1999-2000,2000
225,1st Team,Tim Duncan,1998-1999,1999
226,1st Team,Karl Malone,1998-1999,1999
227,1st Team,Alonzo Mourning,1998-1999,1999
228,1st Team,Allen Iverson,1998-1999,1999
229,1st Team,Jason Kidd,1998-1999,1999
230,2nd Team,Grant Hill,1998-1999,1999
231,2nd Team,Chris Webber,1998-1999,1999
232,2nd Team,Shaquille O'Neal,1998-1999,1999
233,2nd Team,Tim Hardaway,1998-1999,1999
234,2nd Team,Gary Payton,1998-1999,1999
235,3rd Team,Kevin Garnett,1998-1999,1999
236,3rd Team,Antonio McDyess,1998-1999,1999
237,3rd Team,Hakeem Olajuwon,1998-1999,1999
238,3rd Team,Kobe Bryant,1998-1999,1999
239,3rd Team,John Stockton,1998-1999,1999
240,1st Team,Tim Duncan,1997-1998,1998
241,1st Team,Karl Malone,1997-1998,1998
242,1st Team,Shaquille O'Neal,1997-1998,1998
243,1st Team,Michael Jordan,1997-1998,1998
244,1st Team,Gary Payton,1997-1998,1998
245,2nd Team,Vin Baker,1997-1998,1998
246,2nd Team,Grant Hill,1997-1998,1998
247,2nd Team,David Robinson,1997-1998,1998
248,2nd Team,Tim Hardaway,1997-1998,1998
249,2nd Team,Rod Strickland,1997-1998,1998
250,3rd Team,Scottie Pippen,1997-1998,1998
251,3rd Team,Glen Rice,1997-1998,1998
252,3rd Team,Dikembe Mutombo,1997-1998,1998
253,3rd Team,Reggie Miller,1997-1998,1998
254,3rd Team,Mitch Richmond,1997-1998,1998
255,1st Team,Grant Hill,1996-1997,1997
256,1st Team,Karl Malone,1996-1997,1997
257,1st Team,Hakeem Olajuwon,1996-1997,1997
258,1st Team,Tim Hardaway,1996-1997,1997
259,1st Team,Michael Jordan,1996-1997,1997
260,2nd Team,Scottie Pippen,1996-1997,1997
261,2nd Team,Glen Rice,1996-1997,1997
262,2nd Team,Patrick Ewing,1996-1997,1997
263,2nd Team,Gary Payton,1996-1997,1997
264,2nd Team,Mitch Richmond,1996-1997,1997
265,3rd Team,Vin Baker,1996-1997,1997
266,3rd Team,Anthony Mason,1996-1997,1997
267,3rd Team,Shaquille O'Neal,1996-1997,1997
268,3rd Team,Anfernee Hardaway,1996-1997,1997
269,3rd Team,John Stockton,1996-1997,1997
270,1st Team,Karl Malone,1995-1996,1996
271,1st Team,Scottie Pippen,1995-1996,1996
272,1st Team,David Robinson,1995-1996,1996
273,1st Team,Anfernee Hardaway,1995-1996,1996
274,1st Team,Michael Jordan,1995-1996,1996
275,2nd Team,Grant Hill,1995-1996,1996
276,2nd Team,Shawn Kemp,1995-1996,1996
277,2nd Team,Hakeem Olajuwon,1995-1996,1996
278,2nd Team,Gary Payton,1995-1996,1996
279,2nd Team,John Stockton,1995-1996,1996
280,3rd Team,Charles Barkley,1995-1996,1996
281,3rd Team,Juwan Howard,1995-1996,1996
282,3rd Team,Shaquille O'Neal,1995-1996,1996
283,3rd Team,Reggie Miller,1995-1996,1996
284,3rd Team,Mitch Richmond,1995-1996,1996
285,1st Team,Karl Malone,1994-1995,1995
286,1st Team,Scottie Pippen,1994-1995,1995
287,1st Team,David Robinson,1994-1995,1995
288,1st Team,Anfernee Hardaway,1994-1995,1995
289,1st Team,John Stockton,1994-1995,1995
290,2nd Team,Charles Barkley,1994-1995,1995
291,2nd Team,Shawn Kemp,1994-1995,1995
292,2nd Team,Shaquille O'Neal,1994-1995,1995
293,2nd Team,Gary Payton,1994-1995,1995
294,2nd Team,Mitch Richmond,1994-1995,1995
295,3rd Team,Dennis Rodman,1994-1995,1995
296,3rd Team,Detlef Schrempf,1994-1995,1995
297,3rd Team,Hakeem Olajuwon,1994-1995,1995
298,3rd Team,Clyde Drexler,1994-1995,1995
299,3rd Team,Reggie Miller,1994-1995,1995
300,1st Team,Karl Malone,1993-1994,1994
301,1st Team,Scottie Pippen,1993-1994,1994
302,1st Team,Hakeem Olajuwon,1993-1994,1994
303,1st Team,Latrell Sprewell,1993-1994,1994
304,1st Team,John Stockton,1993-1994,1994
305,2nd Team,Charles Barkley,1993-1994,1994
306,2nd Team,Shawn Kemp,1993-1994,1994
307,2nd Team,David Robinson,1993-1994,1994
308,2nd Team,Kevin Johnson,1993-1994,1994
309,2nd Team,Mitch Richmond,1993-1994,1994
310,3rd Team,Derrick Coleman,1993-1994,1994
311,3rd Team,Dominique Wilkins,1993-1994,1994
312,3rd Team,Shaquille O'Neal,1993-1994,1994
313,3rd Team,Gary Payton,1993-1994,1994
314,3rd Team,Mark Price,1993-1994,1994
315,1st Team,Charles Barkley,1992-1993,1993
316,1st Team,Karl Malone,1992-1993,1993
317,1st Team,Hakeem Olajuwon,1992-1993,1993
318,1st Team,Michael Jordan,1992-1993,1993
319,1st Team,Mark Price,1992-1993,1993
320,2nd Team,Larry Johnson,1992-1993,1993
321,2nd Team,Dominique Wilkins,1992-1993,1993
322,2nd Team,Patrick Ewing,1992-1993,1993
323,2nd Team,Joe Dumars,1992-1993,1993
324,2nd Team,John Stockton,1992-1993,1993
325,3rd Team,Derrick Coleman,1992-1993,1993
326,3rd Team,Scottie Pippen,1992-1993,1993
327,3rd Team,David Robinson,1992-1993,1993
328,3rd Team,Tim Hardaway,1992-1993,1993
329,3rd Team,Drazen Petrovic,1992-1993,1993
330,1st Team,Karl Malone,1991-1992,1992
331,1st Team,Chris Mullin,1991-1992,1992
332,1st Team,David Robinson,1991-1992,1992
333,1st Team,Clyde Drexler,1991-1992,1992
334,1st Team,Michael Jordan,1991-1992,1992
335,2nd Team,Charles Barkley,1991-1992,1992
336,2nd Team,Scottie Pippen,1991-1992,1992
337,2nd Team,Patrick Ewing,1991-1992,1992
338,2nd Team,Tim Hardaway,1991-1992,1992
339,2nd Team,John Stockton,1991-1992,1992
340,3rd Team,Dennis Rodman,1991-1992,1992
341,3rd Team,Kevin Willis,1991-1992,1992
342,3rd Team,Brad Daugherty,1991-1992,1992
343,3rd Team,Kevin Johnson,1991-1992,1992
344,3rd Team,Mark Price,1991-1992,1992
345,1st Team,Charles Barkley,1990-1991,1991
346,1st Team,Karl Malone,1990-1991,1991
347,1st Team,David Robinson,1990-1991,1991
348,1st Team,Magic Johnson,1990-1991,1991
349,1st Team,Michael Jordan,1990-1991,1991
350,2nd Team,Chris Mullin,1990-1991,1991
351,2nd Team,Dominique Wilkins,1990-1991,1991
352,2nd Team,Patrick Ewing,1990-1991,1991
353,2nd Team,Clyde Drexler,1990-1991,1991
354,2nd Team,Kevin Johnson,1990-1991,1991
355,3rd Team,Bernard King,1990-1991,1991
356,3rd Team,James Worthy,1990-1991,1991
357,3rd Team,Hakeem Olajuwon,1990-1991,1991
358,3rd Team,Joe Dumars,1990-1991,1991
359,3rd Team,John Stockton,1990-1991,1991
360,1st Team,Charles Barkley,1989-1990,1990
361,1st Team,Karl Malone,1989-1990,1990
362,1st Team,Patrick Ewing,1989-1990,1990
363,1st Team,Magic Johnson,1989-1990,1990
364,1st Team,Michael Jordan,1989-1990,1990
365,2nd Team,Larry Bird,1989-1990,1990
366,2nd Team,Tom Chambers,1989-1990,1990
367,2nd Team,Hakeem Olajuwon,1989-1990,1990
368,2nd Team,Kevin Johnson,1989-1990,1990
369,2nd Team,John Stockton,1989-1990,1990
370,3rd Team,Chris Mullin,1989-1990,1990
371,3rd Team,James Worthy,1989-1990,1990
372,3rd Team,David Robinson,1989-1990,1990
373,3rd Team,Clyde Drexler,1989-1990,1990
374,3rd Team,Joe Dumars,1989-1990,1990
375,1st Team,Charles Barkley,1988-1989,1989
376,1st Team,Karl Malone,1988-1989,1989
377,1st Team,Hakeem Olajuwon,1988-1989,1989
378,1st Team,Magic Johnson,1988-1989,1989
379,1st Team,Michael Jordan,1988-1989,1989
380,2nd Team,Tom Chambers,1988-1989,1989
381,2nd Team,Chris Mullin,1988-1989,1989
382,2nd Team,Patrick Ewing,1988-1989,1989
383,2nd Team,Kevin Johnson,1988-1989,1989
384,2nd Team,John Stockton,1988-1989,1989
385,3rd Team,Terry Cummings,1988-1989,1989
386,3rd Team,Dominique Wilkins,1988-1989,1989
387,3rd Team,Robert Parish,1988-1989,1989
388,3rd Team,Dale Ellis,1988-1989,1989
